prezzo,m2,via,quartiere
€ 1.100/mese,69m²,Via Oriolo Romano,SAN GODENZO
€ 750/mese,65m²,Via Cortale,CAMPO ROMANO
€ 1.200/mese,80m²,Viale della Grande Muraglia,CASTELLACCIO
€ 1.500/mese,150m²,Via della Fisica,EUR
€ 2.100/mese,92m²,Via Sicilia,LUDOVISI
€ 880/mese,45m²,Via Giosuè Carducci,SALLUSTIANO
€ 2.500/mese,186m²,Via Aladino Govoni,BALDUINA
€ 1.850/mese,125m²,Piazza dei Martiri di Belfiore,MAZZINI
€ 1.000/mese,100m²,Via Michelangelo Peroglio,TORRINO
€ 1.200/mese,75m²,Largo Gerolamo Belloni,VIGNA CLARA
€ 1.500/mese,110m²,Via Romeo Rodriguez Pereira,BALDUINA
€ 650/mese,50m²,Vicolo di Forma Rotta,FINOCCHIO
€ 1.400/mese,128m²,Via Guelfo Civinini,TALENTI
€ 2.750/mese,100m²,Piazza di San Cosimato,TRASTEVERE
€ 800/mese,75m²,Via Nicolò Forteguerri,PIGNETO
€ 1.800/mese,50m²,Via del Babuino,CAMPO MARZIO
€ 23.000/mese,750m²,Via Della Nocetta,BRAVETTA
€ 1.500/mese,153m²,Via Elio Lampridio Cerva,FONTE MERAVIGLIOSA
€ 13.500/mese,789m²,Via Odoardo Beccari,MIANI
€ 4.200/mese,130m²,Via d'Ascanio,CAMPO MARZIO
€ 4.200/mese,280m²,Via Nicola Martelli,PARIOLI
€ 7.000/mese,130m²,Piazza di Spagna,CAMPO MARZIO
€ 2.550/mese,153m²,Via Capodistria,TRIESTE
€ 2.500/mese,65m²,Via Del Gambero,COLONNA
€ 7.500/mese,375m²,Viale Regina Margherita,SALARIO
€ 800/mese,60m²,Via del Fosso di Sant'Andrea,MORENA
€ 15.000/mese,440m²,Viale del Museo Borghese,VILLA BORGHESE
€ 2.700/mese,161m²,Via della Sierra Nevada,EUR
€ 570/mese,30m²,Via San Gimignano,FIDENE
€ 4.600/mese,150m²,Via Arenula,REGOLA
€ 550/mese,50m²,Via Vinicio Cortese,CASAL BRUNORI
€ 1.200/mese,80m²,Via Pandosia,APPIO S. GIOVANNI
€ 4.200/mese,210m²,Via Ennio Quirino Visconti,PRATI
€ 800/mese,76m²,Via Cassia,TOMBA DI NERONE
€ 650/mese,66m²,Via Arturo Danusso,NUOVA PONTE DI NONA
€ 2.500/mese,200m²,Via delle Costellazioni,TORRINO
€ 1.600/mese,83m²,Via Vittorio Veneto,LUDOVISI
€ 1.100/mese,101m²,Via delle Tre Madonne,PINCIANO
€ 1.200/mese,100m²,Via Luigi Vittorio Bertarelli,PORTONACCIO
€ 550/mese,45m²,Via Termini Imerese,DUE LEONI
€ 5.000/mese,170m²,Via Giulia,REGOLA
€ 100.000/mese,4.370m²,Via della Camilluccia,CAMILLUCCIA
€ 1.500/mese,70m²,Via degli Avignonesi,TREVI
€ 6.300/mese,135m²,Piazza Albania,S. SABA
€ 2.300/mese,140m²,Via Pieve di Cadore,TRIONFALE
€ 2.900/mese,130m²,Largo Corrado Ricci,MONTI
€ 800/mese,70m²,Via Vestricio Spurinna,QUADRARO
€ 3.600/mese,200m²,Via Firenze,CASTRO PRETORIO
€ 23.000/mese,600m²,Via Tagliamento,TRIESTE
€ 3.000/mese,145m²,Via di San Francesco a Ripa,TRASTEVERE
€ 700/mese,65m²,Via Paolo Stoppa,GIARDINO DI ROMA
€ 1.200/mese,110m²,Via Monte Pollino,MONTE SACRO
€ 1.100/mese,95m²,Via di Boccea,BOCCEA
€ 2.300/mese,150m²,Via della Balduina,BALDUINA
€ 850/mese,80m²,Via Michele Migliarini,GREGNA S. ANDREA
€ 2.900/mese,135m²,Piazza delle Cinque Scole,REGOLA
€ 2.300/mese,115m²,Largo Messico,PARIOLI
€ 3.500/mese,160m²,Via della Croce,CAMPO MARZIO
€ 670/mese,35m²,Via della Formelluccia,CAVA PACE
€ 3.000/mese,190m²,Via Fratelli Ruspoli,PARIOLI
€ 600/mese,67m²,Via Grammichele,BORGHESIANA
€ 1.050/mese,90m²,Via Antonino Lo Surdo,MARCONI
€ 850/mese,102m²,Corso Duca di Genova,OSTIA PONENTE
€ 1.450/mese,162m²,Via Giovanni Giuseppe Gizzi,MALAGROTTA
€ 900/mese,68m²,Via Adolfo Celi,PORTA DI ROMA
€ 1.250/mese,100m²,Via Fontanellato,MONTAGNOLA
€ 1.400/mese,80m²,Via di Villa Severini,COLLINA FLEMING
€ 68.000/mese,4.005m²,Via Mario Bianchini,ROMA 70
€ 4.000/mese,260m²,Via Cassia,TOMBA DI NERONE
€ 2.400/mese,160m²,Via Guido Banti,COLLINA FLEMING
€ 1.290/mese,130m²,Via Joyce,LAURENTINO FONTE OSTIENSE
€ 5.300/mese,240m²,piazza Rondanini,S. EUSTACHIO
€ 750/mese,80m²,Via Annibale Maria di Francia,VILLA SPADA
€ 3.000/mese,95m²,Piazza di Spagna,CAMPO MARZIO
€ 1.200/mese,75m²,Via della Bufalotta,TALENTI
€ 1.750/mese,132m²,Viale dell'Umanesimo,EUR
€ 600/mese,40m²,Via Anteo,TORRE ANGELA
€ 1.000/mese,110m²,Piazza Anco Marzio,OSTIA LEVANTE
€ 1.000/mese,47m²,Via Budapest,CASTELLACCIO
€ 10.000/mese,150m²,Viale Giorgio Washington,VILLA BORGHESE
€ 900/mese,65m²,Via Quinto Novio,QUADRARO
€ 2.200/mese,135m²,via CATULLO,PRATI
€ 1.700/mese,150m²,Corso di Francia,VIGNA CLARA
€ 2.500/mese,171m²,Via Riccardo Forster,FONTE MERAVIGLIOSA
€ 700/mese,85m²,Via Baldassarre Aloisi,TORRE ANGELA
€ 800/mese,72m²,Via Latisana,COLLATINO
€ 1.600/mese,80m²,Piazza Alessandria,SALARIO
€ 2.500/mese,380m²,Via della Giustiniana,PRIMA PORTA
€ 12.000/mese,1.600m²,Via Salaria,SETTEBAGNI
€ 5.000/mese,200m²,Piazzale Flaminio,FLAMINIO
€ 850/mese,62m²,Via Campobasso,PIGNETO
€ 1.000/mese,51m²,Via Giacinta Pezzana,PARIOLI
€ 2.100/mese,90m²,Via Sicilia,LUDOVISI
€ 1.700/mese,138m²,Via Pompeo Trogo,BALDUINA
€ 1.950/mese,100m²,Via Roma Libera,TRASTEVERE
€ 1.600/mese,106m²,Via Camillo de Lellis,MONTEVERDE NUOVO
€ 550/mese,30m²,Via Enrico Theodoli,DUE PONTI
€ 2.700/mese,100m²,Via del Corso,CAMPO MARZIO
€ 1.400/mese,63m²,Via Domenico De Dominicis,CASAL BERTONE
€ 1.050/mese,110m²,Via D. Jachino,MOSTACCIANO
€ 3.600/mese,220m²,Via Nomentana,LANCIANI
€ 1.980/mese,90m²,Piazza Margana,CAMPITELLI
€ 30.000/mese,300m²,Piazza del Popolo,CAMPO MARZIO
€ 1.400/mese,216m²,Via Cassia,TOMBA DI NERONE
€ 800/mese,70m²,Via di Selva Candida,SELVA CANDIDA
€ 800/mese,50m²,Via Laurentina,EUR
€ 1.900/mese,111m²,Via Buccari,EROI TRIONFALE
€ 950/mese,60m²,Piazza Attilio Omodei Zorini,COLLINA DELLE MUSE
€ 850/mese,30m²,Via Alberto Fortis,PARIOLI
€ 2.000/mese,121m²,Via Goito,CASTRO PRETORIO
€ 1.000/mese,75m²,Via di Boccea,BOCCEA
€ 2.500/mese,210m²,Largo dell'Olgiata,OLGIATA
€ 2.100/mese,113m²,Via Odoardo Beccari,MIANI
€ 950/mese,100m²,via castroregio,CAPANNELLE
€ 1.500/mese,80m²,Via Di Santa Maria Maggiore,MONTI
€ 900/mese,63m²,Via Fossato di Vico,MANDRIONE
€ 1.270/mese,85m²,Via Raffaele Conforti,VAL CANNUTA
€ 1.899/mese,160m²,Via Alfonso Rendano,VESCOVIO
€ 1.000/mese,57m²,Via Alessandro Vessella,VESCOVIO
€ 1.980/mese,170m²,Via Francesco Novati,INFERNETTO
€ 4.500/mese,240m²,via GRAMSCI,PARIOLI
€ 4.500/mese,100m²,piazza Borghese 91,CAMPO MARZIO
€ 750/mese,100m²,Via della Magliana,MAGLIANA
€ 1.000/mese,80m²,Via Livio Mariani,PORTUENSE
€ 850/mese,58m²,Via Mario Menichini,GIUSTINIANA
€ 350/mese,91m²,Via Renzo da Ceri,PRENESTINO LABICANO
€ 1.350/mese,75m²,Via Luca della Robbia,TESTACCIO
€ 4.900/mese,276m²,Via Antonio Gramsci,PARIOLI
€ 850/mese,65m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
€ 4.750/mese,265m²,Via della Camilluccia,CAMILLUCCIA
€ 2.400/mese,162m²,Via Aladino Govoni,BALDUINA
€ 2.300/mese,173m²,Via Ceresio,VERBANO
€ 2.300/mese,110m²,Via Antonio Pollaiolo,PARIOLI
€ 1.700/mese,158m²,Via delle Tre Madonne,PINCIANO
€ 800/mese,70m²,Via Eugenio Torelli Viollier,MONTI DI PIETRALATA
€ 4.500/mese,250m²,Via dei Monti Parioli,PARIOLI
€ 1.250/mese,70m²,Via Oderisi da Gubbio,MARCONI
€ 1.800/mese,65m²,Via Cattaro,TRIESTE
€ 550/mese,35m²,Viale Tito Livio,MEDAGLIE D'ORO
€ 1.000/mese,110m²,Piazza Eschilo,AXA
€ 850/mese,60m²,Via Giuseppe Benedetto Dusmet,PRIMAVALLE
€ 1.250/mese,119m²,Via Veronica Gambara,TALENTI
€ 1.300/mese,80m²,Via Di Donna Olimpia,MONTEVERDE NUOVO
€ 700/mese,45m²,Via Pietro Romani,INFERNETTO
€ 2.300/mese,90m²,Via Antonio Pollaiolo,PARIOLI
€ 5.500/mese,341m²,Via dei Monti Parioli,PARIOLI
€ 1.700/mese,60m²,via dell'Elettronica,EUR
€ 950/mese,65m²,Via Bartolo da Sassoferrato,BOCCEA
€ 2.700/mese,130m²,Via del Corso,CAMPO MARZIO
€ 2.750/mese,97m²,via Emanuele Gianturco,FLAMINIO
€ 1.200/mese,70m²,Via Luigi Gaetano Marini,APPIO LATINO - ALBERONE
€ 1.200/mese,90m²,Via Cardinal Sanfelice,BALDO DEGLI UBALDI
€ 1.100/mese,97m²,Via Federico Mastrigli,TOMBA DI NERONE
€ 9.500/mese,415m²,Via di Montoro,REGOLA
€ 2.100/mese,150m²,Via Asiago,MAZZINI
€ 1.050/mese,80m²,Via Nomentana,LANCIANI
€ 2.700/mese,174m²,Via Ostriana,VERBANO
€ 750/mese,117m²,Via di Scorticabove,S. BASILIO
€ 1.000/mese,37m²,Via dello Sci,FARNESINA
€ 1.000/mese,83m²,Via Francesco Pallavicini,PORTUENSE
€ 800/mese,65m²,Via Angelo Messedaglia,COLLINA FLEMING
€ 1.200/mese,70m²,Via Raffaele Conforti,VAL CANNUTA
€ 750/mese,80m²,Via Nora Ricci,GIARDINO DI ROMA
€ 1.200/mese,85m²,Via Foglia,VERBANO
€ 9.500/mese,200m²,Via della Scrofa,CAMPO MARZIO
€ 5.000/mese,100m²,Via Margutta,CAMPO MARZIO
€ 750/mese,63m²,Via Iris Versari,CASAL BRUNORI
€ 600/mese,30m²,Via Tiburtina,TECNOPOLO
€ 1.280/mese,90m²,Piazza Ugo da Como,NUOVO SALARIO
€ 900/mese,82m²,via Pia Nalli,FONTE LAURENTINA
€ 600/mese,70m²,Via Stefano Pittaluga ,GROTTE CELONI
€ 1.650/mese,75m²,Via Giuseppe Palumbo,MAZZINI
€ 30.000/mese,300m²,via di Villa Ruffo,VALLE GIULIA
€ 800/mese,63m²,Via Pietro Venturi,PORTUENSE
€ 650/mese,60m²,Via di Casalotti,CASALOTTI
€ 1.400/mese,60m²,Via Domenico De Dominicis,CASAL BERTONE
€ 7.100/mese,330m²,Via Sebastiano Conca,PARIOLI
€ 1.380/mese,115m²,Via Giulio Venticinque,EROI TRIONFALE
€ 1.050/mese,85m²,Viale Gianluigi Bonelli,MEZZOCAMMINO
€ 4.500/mese,144m²,Via Cicerone,PRATI
€ 1.900/mese,70m²,vicolo del Piede,TRASTEVERE
€ 1.850/mese,115m²,Via Chiana,VERBANO
€ 900/mese,29m²,Via del boschetto,MONTI
€ 1.550/mese,128m²,Via al Sesto Miglio,GROTTAROSSA
€ 800/mese,100m²,Via Vervio,CENTRONI - VALLE MARCIANA
€ 850/mese,60m²,Via Acaia,APPIO S. GIOVANNI
€ 2.900/mese,150m²,Piazza Venezia,TREVI
€ 2.000/mese,110m²,Via delle Canarie,OSTIA PONENTE
€ 820/mese,65m²,Via Valentino Mazzola,ROMA 70
€ 1.100/mese,91m²,Via Ettore Romagnoli,TALENTI
€ 850/mese,65m²,Via Cardinale Caprara,BOCCEA
€ 750/mese,65m²,Via Eugenio Torelli Viollier,MONTI DI PIETRALATA
€ 850/mese,30m²,Via dei Monti Parioli,PARIOLI
€ 1.250/mese,143m²,Via Carlo Emilio Gadda,LAURENTINO FONTE OSTIENSE
€ 1.100/mese,60m²,Via Amsterdam,CASTELLACCIO
€ 1.200/mese,110m²,Via Annone,VERBANO
€ 1.000/mese,100m²,Via Corrado Mantoni,CASALE NEI
€ 800/mese,50m²,Via Luigi Cesana,CASAL BRUCIATO
€ 2.200/mese,119m²,Via Eleonora Duse,PARIOLI
€ 2.000/mese,136m²,Via Ulpiano,PRATI
€ 2.200/mese,145m²,Piazza delle Cinque Scole,REGOLA
€ 900/mese,70m²,Via Francesco Menzio,MALAFEDE
€ 4.500/mese,237m²,via  di Grottarossa ,GROTTAROSSA
€ 800/mese,65m²,Via Bernardino Spada,TORREVECCHIA ALTA
€ 480/mese,27m²,Via Ortucchio,CASE ROSSE
€ 750/mese,48m²,Via Ugo Cerletti,TORREVECCHIA ALTA
€ 750/mese,80m²,Via Giuseppe Chiarelli,TORRACCIA
€ 1.200/mese,75m²,Via della Bufalotta,TALENTI
€ 850/mese,83m²,Via Pollenza,CASAL TIDEI
€ 2.600/mese,180m²,Via Aladino Govoni,BALDUINA
€ 1.600/mese,135m²,Vicolo Vicinale,MONTEVERDE NUOVO
€ 10.000/mese,200m²,Piazza Mattei,S. ANGELO
€ 1.350/mese,100m²,viale gottardo,MONTE SACRO
€ 1.500/mese,100m²,Via Lemonia,APPIO CLAUDIO
€ 1.450/mese,70m²,Lungotevere Flaminio,FLAMINIO
€ 2.700/mese,130m²,Via Firenze,CASTRO PRETORIO
€ 1.200/mese,35m²,Piazza Trento,TRIESTE
€ 400/mese,18m²,Via Massa di San Giuliano,CASTELVERDE
€ 1.100/mese,55m²,Via Angelo Messedaglia,COLLINA FLEMING
€ 950/mese,75m²,Via Francesco Datini,MONTEVERDE NUOVO
€ 950/mese,70m²,Via Roberto Raviola,MEZZOCAMMINO
€ 900/mese,70m²,Via Paolo Campa,MONTEVERDE NUOVO
€ 2.000/mese,120m²,via copenaghen 9,CASTELLACCIO
€ 2.200/mese,90m²,Via Antonio Bertoloni,PARIOLI
€ 700/mese,75m²,Via Giovanni Battista Lorenzi,LA STORTA
€ 1.120/mese,120m²,Via Benedetto XIV,CAVALLEGGERI
€ 4.000/mese,200m²,Piazza dei Giuochi Delfici,VIGNA CLARA
€ 2.400/mese,162m²,Via Aladino Govoni,BALDUINA
€ 1.200/mese,110m²,Piazza Sagona,OSTIA LEVANTE
€ 1.200/mese,105m²,Via Riccardo Zampieri,CASAL BRUCIATO
€ 2.000/mese,130m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
€ 9.500/mese,330m²,Via dei Monti Parioli,PARIOLI
€ 1.550/mese,90m²,Via del Castro Pretorio,CASTRO PRETORIO
€ 5.000/mese,396m²,Via Pieve di Cadore,TRIONFALE
€ 3.300/mese,70m²,Via Del Governo Vecchio,PARIONE
€ 1.600/mese,90m²,Via Cesare Pascarella,PORTA PORTESE
€ 1.300/mese,75m²,Via Luigi Mancinelli,VESCOVIO
€ 800/mese,65m²,Via Francesco Gentile,CINECITTA' EST
€ 1.850/mese,110m²,Vicolo del Vicario,AURELIO
€ 850/mese,63m²,Via Leopoldo Ruspoli,PORTUENSE
€ 3.500/mese,250m²,via Napoleone Colajanni 4,VIGNA CLARA
€ 1.800/mese,145m²,Via Innocenzo X,MONTEVERDE VECCHIO
€ 950/mese,75m²,Via Francesco Datini,MONTEVERDE NUOVO
€ 27.000/mese,2.600m²,Via Bernardino Alimena,ROMANINA
€ 900/mese,116m²,Via Guido Agosti,FORNO SARACENO
€ 1.240/mese,80m²,Via Stamira,ITALIA
€ 550/mese,36m²,Via della Tenuta di Torrenova,TORRENOVA
€ 1.900/mese,100m²,Circonvallazione Ostiense,GARBATELLA
€ 2.800/mese,200m²,Via Antonio Bosio,NOMENTANO
€ 1.300/mese,169m²,Via Villa San Secondo,PODERE S. GIUSTO-PODERE ZARA
€ 820/mese,70m²,Via Antonio Provolo,CASAL TIDEI
€ 3.000/mese,300m²,Via del Forte Bravetta,BRAVETTA
€ 1.400/mese,60m²,Via Angelo Secchi,PARIOLI
€ 800/mese,50m²,Via Molveno,TRIONFALE
€ 1.900/mese,142m²,Via Vito Artale,EROI TRIONFALE
€ 1.500/mese,75m²,Viale dello Scalo S. Lorenzo,S. LORENZO
€ 5.000/mese,205m²,Via Cassia,TOMBA DI NERONE
€ 6.700/mese,322m²,Via Giuseppe Mangili,BELLE ARTI
€ 7.000/mese,336m²,Via delle Tre Madonne,PINCIANO
€ 750/mese,55m²,Via Giorgio Vigolo,ACQUA ACETOSA OSTIENSE
€ 1.500/mese,161m²,Via Giacinta Pezzana,PARIOLI
€ 2.000/mese,60m²,Via Saverio Mercadante,PINCIANO
€ 5.800/mese,250m²,Piazza del Colosseo,CELIO
€ 1.150/mese,98m²,Via Appia Nuova,APPIO LATINO - ALBERONE
€ 1.040/mese,118m²,Via Giuseppe Di Vittorio,COLLATINO
€ 1.450/mese,80m²,Via Catanzaro,ITALIA
€ 1.400/mese,50m²,Via Domenico De Dominicis,CASAL BERTONE
€ 1.100/mese,88m²,Via Valsolda,SACCO PASTORE
€ 950/mese,80m²,Via antonio fogazzaro,TALENTI
€ 2.150/mese,210m²,Via Proba Petronia,APPIANO
€ 800/mese,90m²,Via Nomentana,LANCIANI
€ 1.500/mese,65m²,Via Angelo Bellani,PORTA PORTESE
€ 7.000/mese,147m²,Piazzale Flaminio,FLAMINIO
€ 1.300/mese,55m²,Viale di Villa Massimo,NOMENTANO
€ 1.530/mese,89m²,Via della Luce,TRASTEVERE
€ 780/mese,70m²,Via Virgilio Talli,SERPENTARA
€ 1.200/mese,120m²,Via Bartolo Longo,REBIBBIA
€ 950/mese,85m²,Via Nomentana,LANCIANI
€ 600/mese,86m²,Piazza Giuliano della Rovere,OSTIA LEVANTE
€ 3.500/mese,250m²,Via Napoleone Colajanni,VIGNA CLARA
€ 3.500/mese,194m²,Piazza dei Ponziani,TRASTEVERE
€ 2.400/mese,80m²,Via dei Coronari,PONTE
€ 770/mese,25m²,Via Ernesto Monaci,ITALIA
€ 1.850/mese,80m²,Via Michele di Lando,ITALIA
€ 11.000/mese,360m²,Via del Teatro di Marcello,CAMPITELLI
€ 1.800/mese,90m²,Via della Chiesa Nuova,PARIONE
€ 950/mese,120m²,Via Valbondione,LABARO
€ 1.040/mese,115m²,Via Virgilio Ramperti,CASAL BRUCIATO
€ 800/mese,45m²,Via Enrico Stevenson,LANCIANI
€ 800/mese,60m²,Via Francica,COLLE TAPPI
€ 1.450/mese,85m²,Viale Giuseppe Mazzini,MAZZINI
€ 800/mese,70m²,Via Bereguardo,SELVA CANDIDA
€ 5.500/mese,280m²,Lungotevere dei Mellini,PRATI
€ 12.000/mese,1.010m²,Via Cesare De Lollis,S. LORENZO
€ 700/mese,130m²,Via Samassi,COLLE DEL SOLE - TAVERNELLE
€ 1.500/mese,100m²,Via La Spezia,TUSCOLANO
€ 800/mese,50m²,Via dei Marrucini,S. LORENZO
€ 2.400/mese,233m²,via salaria,SETTEBAGNI
€ 950/mese,60m²,Via Santa Bernadette,BALDO DEGLI UBALDI
€ 1.000/mese,101m²,via Maria Grandinetti 24,ACILIA SUD
€ 2.300/mese,176m²,Via Passignano sul Trasimeno,COLLINA FLEMING
€ 600/mese,50m²,Via di Vermicino,BORGHESIANA
€ 2.300/mese,180m²,Via Passignano sul Trasimeno,COLLINA FLEMING
€ 1.350/mese,97m²,Viale Bruno Buozzi,BELLE ARTI
€ 2.900/mese,184m²,Viale Umberto Tupini,EUR
€ 2.000/mese,60m²,Via Saverio Mercadante,PINCIANO
€ 900/mese,64m²,Via Fonteiana,MONTEVERDE VECCHIO
€ 4.200/mese,230m²,Piazza Digione,PARIOLI
€ 1.600/mese,90m²,Via Caio Mario,PRATI
€ 1.500/mese,111m²,Via Silvio Pellico,MAZZINI
€ 750/mese,79m²,Via Scarmagno,ACQUAFREDDA
€ 2.200/mese,110m²,Via Adelaide Ristori,PARIOLI
€ 700/mese,40m²,Via Menofilo,QUARTO MIGLIO
€ 1.500/mese,95m²,Via Archimede,PARIOLI
€ 650/mese,80m²,Via Giacomo Laurenzani,TORRE ANGELA
€ 1.850/mese,55m²,Piazza Albania,S. SABA
€ 2.200/mese,65m²,Vicolo del Farinone,BORGO
€ 1.600/mese,60m²,Via Vicenza,CASTRO PRETORIO
€ 800/mese,65m²,Via dei Lincei,TOR MARANCIA
€ 1.000/mese,49m²,Via Atella,APPIO S. GIOVANNI
€ 1.700/mese,140m²,Via Luca Valerio,MARCONI
€ 1.700/mese,66m²,Via Lima,PARIOLI
€ 890/mese,60m²,Via Achille Loria,COLLINA FLEMING
€ 1.200/mese,91m²,Via dei Capasso,BRAVETTA
€ 7.000/mese,700m²,largo dell'olgiata,OLGIATA
€ 2.500/mese,70m²,Via Laurina,CAMPO MARZIO
€ 1.300/mese,90m²,Circonvallazione Appia,APPIO LATINO - ALBERONE
€ 1.600/mese,199m²,Via di Grottarossa,GROTTAROSSA
€ 1.800/mese,110m²,Viale Eritrea,AFRICANO
€ 3.800/mese,180m²,Via Boncompagni,LUDOVISI
€ 2.300/mese,93m²,Via Francesco Giacomo Tricomi,CASAL LUMBROSO
€ 500/mese,22m²,Viale Regina Margherita,SALARIO
€ 740/mese,50m²,Bilocale Via Leonida Tonelli,CASTEL DI LEVA
€ 750/mese,125m²,Via Tocco da Casauria,CASE ROSSE
€ 850/mese,65m²,Piazza Camillo Finocchiaro Aprile,APPIO LATINO - ALBERONE
€ 650/mese,59m²,Via Collegiove,GROTTAROSSA
€ 2.600/mese,120m²,Via Giovanni Nicotera,MAZZINI
€ 700/mese,60m²,Via di Sacco Pastore,SACCO PASTORE
€ 1.000/mese,140m²,Via Romolo Gigliozzi,TOR DE' CENCI
€ 1.200/mese,90m²,VIALE DELL'AERONAUTICA,EUR
€ 450/mese,45m²,Vicolo del Casale Lumbroso,CASAL LUMBROSO
€ 650/mese,50m²,Via Vincenzo Morello,MONTI DI PIETRALATA
€ 800/mese,60m²,Viale dei Quattro Venti,MONTEVERDE VECCHIO
€ 500/mese,22m²,Viale Regina Margherita,SALARIO
€ 890/mese,75m²,Via Sutera,BORGHESIANA
€ 700/mese,43m²,Via Emanuela Loi,CECCHIGNOLA
€ 4.500/mese,268m²,Via Oddone di Cluny,RIPA
€ 850/mese,40m²,Via Muzio Scevola,FURIO CAMILLO
€ 900/mese,90m²,via della cappelletta della Giustiniana,GIUSTINIANA
€ 1.200/mese,80m²,Via Tommaso Inghirami,APPIO LATINO - ALBERONE
€ 1.500/mese,112m²,Via Salaria,SETTEBAGNI
€ 1.200/mese,145m²,Via Vitaliano Rotellini,TOR DE' CENCI
€ 1.200/mese,45m²,Via Sicilia,LUDOVISI
€ 800/mese,55m²,Via del Casale Galvani,MONTI DI PIETRALATA
€ 3.500/mese,80m²,Via di Ripetta,CAMPO MARZIO
€ 1.200/mese,100m²,Piazza dei Consoli,DON BOSCO
€ 2.000/mese,120m²,via copenaghen 9,CASTELLACCIO
€ 600/mese,35m²,Via Vincenzo Montenovesi,MONTESPACCATO
€ 1.900/mese,55m²,piazza Albania 36,S. SABA
€ 970/mese,61m²,Via Decimo Laberio,APPIANO
€ 650/mese,22m²,Via dei Vitelli,TOR SAPIENZA
€ 520/mese,30m²,Via Sisto IV,PINETA SACCHETTI
€ 750/mese,55m²,Via Frassineto,PRIMA PORTA
€ 1.200/mese,55m²,Via Ignazio Ribotti,PORTUENSE
€ 1.050/mese,110m²,Via di Boccea,BOCCEA
€ 900/mese,65m²,Piazza Camillo Finocchiaro Aprile,APPIO LATINO - ALBERONE
€ 10.000/mese,230m²,Via di Ripetta,CAMPO MARZIO
€ 1.400/mese,130m²,Via Gregorio VII,AURELIO
€ 2.100/mese,80m²,via del babuino,CAMPO MARZIO
€ 950/mese,50m²,Via degli Enotri,S. LORENZO
€ 800/mese,60m²,Via Ampio Flaviano,DON BOSCO
€ 650/mese,22m²,Via Vitellia,MONTEVERDE NUOVO
€ 2.200/mese,130m²,Via Antonio Musa,NOMENTANO
€ 1.899/mese,160m²,Via Alfonso Rendano,VESCOVIO
€ 1.000/mese,70m²,Via Valsesia,PRATI FISCALI
€ 725/mese,30m²,Via di Vigna Pozzi,SAN PAOLO
€ 1.150/mese,114m²,Via Davide Campari,TOR TRE TESTE
€ 650/mese,22m²,Via Vitellia,MONTEVERDE NUOVO
€ 500/mese,45m²,Via Antonio Conti,OLGIATA
€ 650/mese,30m²,Via Carlo Francesco Bellingeri,TORREVECCHIA ALTA
€ 800/mese,60m²,Via Polibio,BALDUINA
€ 1.450/mese,135m²,Via Flaminia,COLLINA FLEMING
€ 750/mese,30m²,Viale Egeo,EUR
€ 500/mese,22m²,Viale Regina Margherita,SALARIO
€ 900/mese,60m²,Via Alberese,PARROCCHIETTA
€ 2.800/mese,175m²,Via Calalzo,CORTINA D'AMPEZZO
€ 1.000/mese,40m²,Via della Palombella,S. EUSTACHIO
€ 4.500/mese,220m²,Via Cassiodoro,PRATI
€ 4.500/mese,400m²,via Tullio Passarelli,TOR DE' CENCI
€ 1.200/mese,103m²,Via Enrico Fermi,MARCONI
€ 500/mese,22m²,Viale Regina Margherita,SALARIO
€ 2.400/mese,100m²,Via Ruggero Fauro,PARIOLI
€ 900/mese,108m²,Via Francesco Maria Torrigio,PRIMAVALLE
€ 700/mese,100m²,Via Ostiense,OSTIENSE
€ 1.700/mese,88m²,via Antonino di Giorgio 11,PONTE MILVIO
€ 600/mese,45m²,Via di Vermicino,BORGHESIANA
€ 850/mese,55m²,Via Fara Sabina,VESCOVIO
€ 1.800/mese,146m²,via Elio Lampridio Cerva  37,FONTE MERAVIGLIOSA
€ 890/mese,66m²,Via Otricoli,MANDRIONE
€ 900/mese,80m²,Via Lodovico Bertonio,DRAGONA
€ 650/mese,40m²,VIA GIORGIO DE LULLO,GIARDINO DI ROMA
€ 830/mese,87m²,Via Ezio Sciamanna,TORREVECCHIA ALTA
€ 650/mese,60m²,Via Giorgio Perlasca,PRAMPOLINI
€ 1.250/mese,120m²,Via Fermo Corni,REBIBBIA
€ 500/mese,22m²,Viale Regina Margherita,SALARIO
€ 2.000/mese,294m²,Via Giuseppe Silla,GIUSTINIANA
€ 2.200/mese,132m²,Via Archimede,PARIOLI
€ 1.400/mese,50m²,Via Lazio,LUDOVISI
€ 650/mese,83m²,Via Laurentina,EUR
€ 2.200/mese,138m²,Via Salvatore Quasimodo,FERRATELLA
€ 1.080/mese,70m²,Via Nadir Quinto,MEZZOCAMMINO
€ 1.200/mese,113m²,Via Giannetto Valli,PORTUENSE
€ 4.500/mese,302m²,Via di Vigna Stelluti,VIGNA CLARA
€ 1.000/mese,30m²,Via Gregorio VII,AURELIO
€ 500/mese,22m²,Viale Regina Margherita,SALARIO
€ 1.050/mese,70m²,Via Gino Capponi,APPIO LATINO - ALBERONE
€ 1.800/mese,200m²,via CARDINALE UGO POLETTI,CASTELLUCCIA
€ 500/mese,50m²,Via Belpasso,FINOCCHIO
