id,nome,turistiche,storiche,metro,quartiere
1573904451,Necropoli della Via Ostiense,attraction,ruins,,PARCO ARCHEOLOGICO OSTIA ANTICA
1637802403,Ruderi di Coazzo,,ruins,,S. CLETO
1662303156,Museo Universale,museum,,,TREVI
1674754682,Chiostro del Bramante,museum,,,PONTE
1709283551,Colosseo,,,subway_entrance,MONTI
1716909150,Museo della Mente,museum,,,CASAL DEL MARMO
1719260033,Bolognetta,,,station,BORGHESIANA
1719260034,Borghesiana,,,station,BORGHESIANA
1719260035,Due Leoni - Fontana Candida,,,station,DUE LEONI
1719260036,Finocchio,,,station,BORGHESIANA
1719260037,Graniti,,,station,FINOCCHIO
1719260039,Torre Angela,,,station,TORRE ANGELA
1719260040,Torre Gaia,,,station,GROTTE CELONI
1719260041,Torrenova,,,station,GIARDINETTI
1741619940,Spagna,,,subway_entrance,VILLA BORGHESE
1743112241,Giardinetti,,,station,GIARDINETTI
1743112280,Torre Maura,,,station,TORRE MAURA
1743112292,Torre Spaccata,,,station,ALESSANDRINO
1743120122,Gardenie,,,station,CENTOCELLE
1743120146,Lodi,,,station,TUSCOLANO
1743120163,Malatesta,,,station,PRENESTINO LABICANO
1743120170,Mirti,,,station,CENTOCELLE
1743137544,Alessandrino,,,station,TORRE SPACCATA
1768595341,Re di Roma,,,subway_entrance,APPIO S. GIOVANNI
1783958809,Resti villa romana,,archaeological_site,,PARCO DELLE SABINE
1788363341,Jonio,,,station,TUFELLO
1791417716,Anfiteatro castrense,,archaeological_site,,ESQUILINO
1799134234,Tiburtina FS,,,subway_entrance,ITALIA
1799299411,Quintiliani,,,subway_entrance,MONTI DI PIETRALATA
1806035237,Explora,museum,,,VALLE GIULIA
1832878829,Capanna Protostorica,,archaeological_site,,FIDENE
1895350346,Sant'Agnese/Annibaliano,,,subway_entrance,AFRICANO
1901107555,Libia,,,subway_entrance,VESCOVIO
1908427809,Conca d'Oro,,,subway_entrance,CONCA D'ORO
1924360583,EUR Palasport,,,subway_entrance,EUR
1926239997,Mitreo delle Terme del Mitra,artwork,archaeological_site,,PARCO ARCHEOLOGICO OSTIA ANTICA
1938346422,Museo napoleonico di Roma,museum,,,PONTE
2034547216,Spagna,,,subway_entrance,VILLA BORGHESE
2047326301,Pietralata,,,subway_entrance,PIETRALATA
2047326305,Monti Tiburtini,,,subway_entrance,MONTI TIBURTINI
2073825295,Baldo degli Ubaldi,,,subway_entrance,BALDO DEGLI UBALDI
2073825297,Baldo degli Ubaldi,,,subway_entrance,BALDO DEGLI UBALDI
2073825299,Baldo degli Ubaldi,,,subway_entrance,BALDO DEGLI UBALDI
2074634919,Villa di Livia,,archaeological_site,,PRIMA PORTA
2112373866,Saba Parcheggio Villa Borghese,,,subway_entrance,LUDOVISI
2122709063,Galleria Nazionale d'Arte Antica,museum,,,TREVI
2151889949,Conca d'Oro,,,subway_entrance,CONCA D'ORO
2151889950,Conca d'Oro,,,subway_entrance,CONCA D'ORO
2184077390,Case romane del Celio,museum,,,CELIO
2219217613,Primo Miracolo,attraction,,,FALCOGNANA-DIVINO AMORE
