id,name,price,room_type,accommodates,review_scores_rating,quartiere
871438360402172187,Characteristic Charming Loft,$177.00,Entire home/apt,4,4.84,REGOLA
871487625748903935,[Disability friendly]Luxury room near Colosseo,$159.00,Private room,2,4.75,ESQUILINO
871506811576025683,Volupta's house  Rome Termini 2,$88.00,Entire home/apt,2,4.5,CASTRO PRETORIO
868724267493492792,Villa Delfina int.1,$71.00,Entire home/apt,2,4.82,INFERNETTO
868727666487170622,Andrea's House Roma Porta Pia,$121.00,Entire home/apt,6,4.9,SALARIO
873042802291783615,Trastevere Loft,$94.00,Entire home/apt,4,4.65,MARCONI
873067048648781335,Dahlia Roma Appartamento,$82.00,Entire home/apt,2,4.97,MONTAGNOLA
873068197692338424,Betulla Suite - Vittoria Garden Suites,$125.00,Private room,4,4.5,ESQUILINO
873075134569273189,Villa Ada oasi di eleganza,$260.00,Entire home/apt,4,4.88,VERBANO
871548581457304691,[Colosseo]Room with balcony in city centre,$186.00,Private room,2,4.86,ESQUILINO
871564358390045278,[Colosseo]Room with balcony in the centre of Rome,$186.00,Private room,2,4.5,ESQUILINO
871579877234477734,Bright Apartment near Villa Borghese,$104.00,Entire home/apt,2,4.61,PINCIANO
871584961454606717,Superior room with balcony near Colosseo,$193.00,Private room,3,5.0,ESQUILINO
871599147734550149,Superior room with twin shower near Colosseo,$219.00,Private room,4,5.0,ESQUILINO
871599426989508776,Cattaneo Holiday Home,$172.00,Entire home/apt,4,4.88,ESQUILINO
873112594711799247,Divina pigneto private bathroom Rome,$100.00,Private room,2,4.6,PIGNETO
873124509888035216,Mr. Appartamento Furio Camillo,$78.00,Entire home/apt,4,3.0,FURIO CAMILLO
873136926020208331,mr. brown - Monteverde apartment,$93.00,Entire home/apt,4,5.0,MONTEVERDE NUOVO
873141166793526504,Trastevere Rome's Heart & charming appartment 3,$307.00,Entire home/apt,6,4.97,TRASTEVERE
873163540371111698,Sweety Melodie House,$200.00,Entire home/apt,3,5.0,ITALIA
873233161665147162,Casa Tommasini,$97.00,Entire home/apt,4,4.91,LANCIANI
873270613063883005,Casa Fortuna,$109.00,Entire home/apt,2,4.92,SALLUSTIANO
873547271818089031,"Francis’s House, Roma",$87.00,Private room,2,5.0,MAGLIANA
873582358874884821,"Elizabeth Penthouse,  10 min walk from City Center",$207.00,Entire home/apt,6,4.73,FLAMINIO
871626303540857521,Superattico vista vaticano,$82.00,Private room,2,5.0,BALDUINA
871652592614643572,Appartamento  Fontana di Trevi,$192.00,Entire home/apt,4,4.94,TREVI
871680727449360547,Appartamento a Roma vicino Trastevere,$105.00,Entire home/apt,4,4.75,MONTEVERDE NUOVO
871688942078695084,La tua casa al Gianicolo!,$260.00,Entire home/apt,4,5.0,TRASTEVERE
871696508997650145,Camera Matrimoniale Standard,$107.00,Private room,2,4.71,BOCCEA
871696740064523746,Tripla con Giardino,$109.00,Private room,4,4.83,BOCCEA
871717149377150490,Capo d'Africa Grazioso APT accanto al Colosseo,$177.00,Entire home/apt,4,4.66,CELIO
871721682636389011,Quiet Open-Space in Testaccio and near FAO,$115.00,Entire home/apt,2,4.95,TESTACCIO
